UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,station_count
820277774,"311","311",CARDINIA,CARDINIA SHIRE,G040 2003 p2572,"21450",,,812373711,2023/12/19,2,5
857824902,"356","356",NILLUMBIK,NILLUMBIK SHIRE,G047 2003 p2972,"25710",,,857596447,2024/10/15,4,3
858016781,"346","346",MITCHELL,MITCHELL SHIRE,G007 2012 p288,"24850",,,857824898,2024/10/18,2,5
857824901,"333","333",HUME,HUME CITY,S097 1994 p22,"23270",,,857596446,2024/10/15,4,5
838124694,"347","347",MOIRA,MOIRA SHIRE,S087 1994 p28,"24900",,,815857841,2024/03/25,1,6
858016783,"355","355",MURRINDINDI,MURRINDINDI SHIRE,G007 2012 p285,"25620",,,857824903,2024/10/18,2,5
856969537,"338","338",LODDON,LODDON SHIRE,S002 1995 p14,"23940",,,847360027,2024/09/26,1,7
756167790,"322","322",GLEN EIRA,GLEN EIRA CITY,S097 1994 p21,"22310",,,743233029,2023/05/15,5,1
840422425,"328","328",GREATER SHEPPARTON,GREATER SHEPPARTON CITY,S087 1994 p28,"22830",,,838124695,2024/04/08,2,5
858016778,"321","321",GANNAWARRA,GANNAWARRA SHIRE,S004 1995 p14,"22250",,,856969536,2024/10/18,1,4
805744891,"365","365",SURF COAST,SURF COAST SHIRE,S063 1994 p15,"26490",,,796758610,2023/10/16,2,4
857824900,"373","373",WHITTLESEA,WHITTLESEA CITY,G003 1999 p119,"27070",,,857596445,2024/10/15,4,4
857824899,"339","339",MACEDON RANGES,MACEDON RANGES SHIRE,S002 1995 p17,"24130",,,857596444,2024/10/15,2,8
856969550,"326","326",GREATER DANDENONG,GREATER DANDENONG CITY,S097 1994 p22,"22670",,,812633107,2024/09/26,5,2
825005519,"306","306",BAYSIDE,BAYSIDE CITY,G050 2023 p2364,"20910",1005,,821999872,2024/01/25,5,1
858016782,"382","382",MANSFIELD,MANSFIELD SHIRE,G042 2002 p2839,"24250",,2003/01/29,820277765,2024/10/18,1,3
826546837,"371","371",WEST WIMMERA,WEST WIMMERA SHIRE,S004 1995 p24,"26890",,,812633102,2024/01/29,1,5
826546836,"330","330",HINDMARSH,HINDMARSH SHIRE,S004 1995 p16,"22980",,,537821321,2024/01/29,1,4
829328289,"324","324",GOLDEN PLAINS,GOLDEN PLAINS SHIRE,G012 1995 p742,"22490",,,810305321,2024/02/05,1,6
857371170,"332","332",HORSHAM,HORSHAM RURAL CITY,S004 1995 p16,"23190",,,844664029,2024/10/04,1,2
857371172,"359","359",PYRENEES,PYRENEES SHIRE,S004 1995 p20,"25990",,,835228707,2024/10/04,1,4
858016780,"364","364",STRATHBOGIE,STRATHBOGIE SHIRE,G012 1995 p738,"26430",,,857824897,2024/10/18,1,3
499822664,"124107197","384",MOUNT BULLER ALPINE RESORT (UNINC),MOUNT BULLER ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17,492682893,2015/07/30,5,1
857371181,"331","331",HOBSONS BAY,HOBSONS BAY CITY,S035 1994 p4,"23110",,,812633105,2024/10/04,5,4
728238368,"360","360",QUEENSCLIFFE,QUEENSCLIFFE BOROUGH,G047 1863 p1039,"26080",,,693701355,2023/02/27,5,1
831486332,"366","366",SWAN HILL,SWAN HILL RURAL CITY,S004 1995 p23,"26610",,,826546833,2024/02/19,1,6
858458114,"352","352",MORNINGTON PENINSULA,MORNINGTON PENINSULA SHIRE,S097 1994 p27,"25340",,,856190183,2024/10/30,4,6
832976078,"361","361",SOUTH GIPPSLAND,SOUTH GIPPSLAND SHIRE,S097 1994 p28,"26170",,,812373713,2024/02/26,1,8
857371173,"362","362",SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS SHIRE,G019 1996 p1218,"26260",,,840422430,2024/10/04,1,7
798566874,"323","323",GLENELG,GLENELG SHIRE,G003 1997 p195,"22410",,,795436516,2023/09/18,1,5
860236432,"312","312",CASEY,CASEY CITY,S097 1994 p20,"21610",,,856969551,2024/12/04,4,3
860236431,"336","336",KNOX,KNOX CITY,S097 1994 p23,"23670",,,856969549,2024/12/04,5,3
857371169,"357","357",NORTHERN GRAMPIANS,NORTHERN GRAMPIANS SHIRE,G009 1996 p657,"25810",,,847360028,2024/10/04,1,3
857371183,"348","348",MONASH,MONASH CITY,S097 1994 p25,"24970",,,856190182,2024/10/04,5,4
835228709,"302","302",BALLARAT,BALLARAT CITY,G012 1995 p740,"20570",,,831486335,2024/03/12,2,5
860761153,"349","349",MOONEE VALLEY,MOONEE VALLEY CITY,G050 2007 p3095,"25060",,,857371176,2024/12/17,5,4
860761152,"351","351",MERRI-BEK,MERRI-BEK CITY,G037 2022 p3871,"25250",,,856969542,2024/12/17,5,2
863630832,"325","325",GREATER BENDIGO,GREATER BENDIGO CITY,G016 1996 p30,"22620",,,857596442,2025/03/07,1,6
863630831,"310","310",CAMPASPE,CAMPASPE SHIRE,S004 1995 p13,"21370",,,858016779,2025/03/07,1,7
