X,Y,id,UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_
145.567633244387,-38.0950637830137,,820277774,"311","311",CARDINIA,CARDINIA SHIRE,G040 2003 p2572,"21450",,1899/11/30 00:00:00+00,812373711,2023/12/19 00:00:00+00,2
145.24629757331,-37.6147639782951,,857824902,"356","356",NILLUMBIK,NILLUMBIK SHIRE,G047 2003 p2972,"25710",,1899/11/30 00:00:00+00,857596447,2024/10/15 00:00:00+00,4
144.976493280037,-37.1755030531757,,858016781,"346","346",MITCHELL,MITCHELL SHIRE,G007 2012 p288,"24850",,1899/11/30 00:00:00+00,857824898,2024/10/18 00:00:00+00,2
144.823700347271,-37.5971099396994,,857824901,"333","333",HUME,HUME CITY,S097 1994 p22,"23270",,1899/11/30 00:00:00+00,857596446,2024/10/15 00:00:00+00,4
145.581054072913,-36.050579108691,,838124694,"347","347",MOIRA,MOIRA SHIRE,S087 1994 p28,"24900",,1899/11/30 00:00:00+00,815857841,2024/03/25 00:00:00+00,1
145.858820055551,-37.5256691234477,,858016783,"355","355",MURRINDINDI,MURRINDINDI SHIRE,G007 2012 p285,"25620",,1899/11/30 00:00:00+00,857824903,2024/10/18 00:00:00+00,2
145.60767511493,-37.2809746170935,,858016783,"355","355",MURRINDINDI,MURRINDINDI SHIRE,G007 2012 p285,"25620",,1899/11/30 00:00:00+00,857824903,2024/10/18 00:00:00+00,2
143.894302457664,-36.4026006681681,,856969537,"338","338",LODDON,LODDON SHIRE,S002 1995 p14,"23940",,1899/11/30 00:00:00+00,847360027,2024/09/26 00:00:00+00,1
145.041036941229,-37.8990900608418,,756167790,"322","322",GLEN EIRA,GLEN EIRA CITY,S097 1994 p21,"22310",,1899/11/30 00:00:00+00,743233029,2023/05/15 00:00:00+00,5
145.378152822467,-36.4277065426371,,840422425,"328","328",GREATER SHEPPARTON,GREATER SHEPPARTON CITY,S087 1994 p28,"22830",,1899/11/30 00:00:00+00,838124695,2024/04/08 00:00:00+00,2
143.802486191796,-35.7320698953067,,858016778,"321","321",GANNAWARRA,GANNAWARRA SHIRE,S004 1995 p14,"22250",,1899/11/30 00:00:00+00,856969536,2024/10/18 00:00:00+00,1
144.097382388311,-38.3399196362553,,805744891,"365","365",SURF COAST,SURF COAST SHIRE,S063 1994 p15,"26490",,1899/11/30 00:00:00+00,796758610,2023/10/16 00:00:00+00,2
145.061970168437,-37.550809358828,,857824900,"373","373",WHITTLESEA,WHITTLESEA CITY,G003 1999 p119,"27070",,1899/11/30 00:00:00+00,857596445,2024/10/15 00:00:00+00,4
144.634647660796,-37.3336170270111,,857824899,"339","339",MACEDON RANGES,MACEDON RANGES SHIRE,S002 1995 p17,"24130",,1899/11/30 00:00:00+00,857596444,2024/10/15 00:00:00+00,2
145.187369034209,-38.001276422858,,856969550,"326","326",GREATER DANDENONG,GREATER DANDENONG CITY,S097 1994 p22,"22670",,1899/11/30 00:00:00+00,812633107,2024/09/26 00:00:00+00,5
145.017789489309,-37.9396777667373,,825005519,"306","306",BAYSIDE,BAYSIDE CITY,G050 2023 p2364,"20910",1005,1899/11/30 00:00:00+00,821999872,2024/01/25 00:00:00+00,5
145.009703829664,-37.968778470622,,825005519,"306","306",BAYSIDE,BAYSIDE CITY,G050 2023 p2364,"20910",1005,1899/11/30 00:00:00+00,821999872,2024/01/25 00:00:00+00,5
146.312796276274,-37.2412563916467,,858016782,"382","382",MANSFIELD,MANSFIELD SHIRE,G042 2002 p2839,"24250",,2003/01/29 00:00:00+00,820277765,2024/10/18 00:00:00+00,1
141.3995710932,-36.6013815273901,,826546837,"371","371",WEST WIMMERA,WEST WIMMERA SHIRE,S004 1995 p24,"26890",,1899/11/30 00:00:00+00,812633102,2024/01/29 00:00:00+00,1
141.712441036541,-36.0284715972127,,826546836,"330","330",HINDMARSH,HINDMARSH SHIRE,S004 1995 p16,"22980",,1899/11/30 00:00:00+00,537821321,2024/01/29 00:00:00+00,1
143.839067240934,-37.8524667861956,,829328289,"324","324",GOLDEN PLAINS,GOLDEN PLAINS SHIRE,G012 1995 p742,"22490",,1899/11/30 00:00:00+00,810305321,2024/02/05 00:00:00+00,1
142.108853636545,-36.8283995858588,,857371170,"332","332",HORSHAM,HORSHAM RURAL CITY,S004 1995 p16,"23190",,1899/11/30 00:00:00+00,844664029,2024/10/04 00:00:00+00,1
143.423837086624,-37.3300987684943,,857371172,"359","359",PYRENEES,PYRENEES SHIRE,S004 1995 p20,"25990",,1899/11/30 00:00:00+00,835228707,2024/10/04 00:00:00+00,1
145.37452498321,-36.7231207418342,,858016780,"364","364",STRATHBOGIE,STRATHBOGIE SHIRE,G012 1995 p738,"26430",,1899/11/30 00:00:00+00,857824897,2024/10/18 00:00:00+00,1
146.450338544039,-37.1370367600588,,499822664,"124107197","384",MOUNT BULLER ALPINE RESORT (UNINC),MOUNT BULLER ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,492682893,2015/07/30 00:00:00+00,5
144.836663157681,-37.8569247409362,,857371181,"331","331",HOBSONS BAY,HOBSONS BAY CITY,S035 1994 p4,"23110",,1899/11/30 00:00:00+00,812633105,2024/10/04 00:00:00+00,5
144.665156420589,-38.2649889465874,,728238368,"360","360",QUEENSCLIFFE,QUEENSCLIFFE BOROUGH,G047 1863 p1039,"26080",,1899/11/30 00:00:00+00,693701355,2023/02/27 00:00:00+00,5
143.021263106703,-35.1005596719994,,831486332,"366","366",SWAN HILL,SWAN HILL RURAL CITY,S004 1995 p23,"26610",,1899/11/30 00:00:00+00,826546833,2024/02/19 00:00:00+00,1
145.081045723899,-38.3312606866318,,858458114,"352","352",MORNINGTON PENINSULA,MORNINGTON PENINSULA SHIRE,S097 1994 p27,"25340",,1899/11/30 00:00:00+00,856190183,2024/10/30 00:00:00+00,4
146.016532098721,-38.6987999323993,,832976078,"361","361",SOUTH GIPPSLAND,SOUTH GIPPSLAND SHIRE,S097 1994 p28,"26170",,1899/11/30 00:00:00+00,812373713,2024/02/26 00:00:00+00,1
141.958067582844,-37.5303018706497,,857371173,"362","362",SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS SHIRE,G019 1996 p1218,"26260",,1899/11/30 00:00:00+00,840422430,2024/10/04 00:00:00+00,1
141.350505597737,-37.8907433473245,,798566874,"323","323",GLENELG,GLENELG SHIRE,G003 1997 p195,"22410",,1899/11/30 00:00:00+00,795436516,2023/09/18 00:00:00+00,1
145.31085831345,-38.0925658941644,,860236432,"312","312",CASEY,CASEY CITY,S097 1994 p20,"21610",,1899/11/30 00:00:00+00,856969551,2024/12/04 00:00:00+00,4
145.264833388558,-37.8983879030911,,860236431,"336","336",KNOX,KNOX CITY,S097 1994 p23,"23670",,1899/11/30 00:00:00+00,856969549,2024/12/04 00:00:00+00,5
143.022701995404,-36.8494837397642,,857371169,"357","357",NORTHERN GRAMPIANS,NORTHERN GRAMPIANS SHIRE,G009 1996 p657,"25810",,1899/11/30 00:00:00+00,847360028,2024/10/04 00:00:00+00,1
145.141218038977,-37.8967146761107,,857371183,"348","348",MONASH,MONASH CITY,S097 1994 p25,"24970",,1899/11/30 00:00:00+00,856190182,2024/10/04 00:00:00+00,5
143.767493381357,-37.5196380365551,,835228709,"302","302",BALLARAT,BALLARAT CITY,G012 1995 p740,"20570",,1899/11/30 00:00:00+00,831486335,2024/03/12 00:00:00+00,2
144.887454710914,-37.7494453046419,,860761153,"349","349",MOONEE VALLEY,MOONEE VALLEY CITY,G050 2007 p3095,"25060",,1899/11/30 00:00:00+00,857371176,2024/12/17 00:00:00+00,5
144.955803937527,-37.7356068211425,,860761152,"351","351",MERRI-BEK,MERRI-BEK CITY,G037 2022 p3871,"25250",,1899/11/30 00:00:00+00,856969542,2024/12/17 00:00:00+00,5
144.290418383741,-36.7228099996807,,863630832,"325","325",GREATER BENDIGO,GREATER BENDIGO CITY,G016 1996 p30,"22620",,1899/11/30 00:00:00+00,857596442,2025/03/07 00:00:00+00,1
144.716023520181,-36.3207006893364,,863630831,"310","310",CAMPASPE,CAMPASPE SHIRE,S004 1995 p13,"21370",,1899/11/30 00:00:00+00,858016779,2025/03/07 00:00:00+00,1
142.502424752883,-38.3781782699523,,865944258,"369","369",WARRNAMBOOL,WARRNAMBOOL CITY,S063 1994 p15,"26730",,1899/11/30 00:00:00+00,798566877,2025/04/24 00:00:00+00,5
