UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,total_station_count,station per 100000 person,fire_station_count,ambu_station_count,population,km2,persons/km2,poli_station_count,station_per_1000km2,station_per_100000
820277774,311,311,CARDINIA,CARDINIA SHIRE,G040 2003 p2572,21450,,,812373711,19/12/2023,2,27,21,19,3,130383,1282.6,101.7,5,21.05099018,20.70822116
857824902,356,356,NILLUMBIK,NILLUMBIK SHIRE,G047 2003 p2972,25710,,,857596447,15/10/2024,4,20,31,15,2,63693,432.3,147.3,3,46.2641684,31.40062487
858016781,346,346,MITCHELL,MITCHELL SHIRE,G007 2012 p288,24850,,,857824898,18/10/2024,2,26,46,18,3,56384,2862.1,19.7,5,9.084238846,46.1123723
857824901,333,333,HUME,HUME CITY,S097 1994 p22,23270,,,857596446,15/10/2024,4,23,8,10,8,271709,503.8,539.3,5,45.65303692,8.464938592
838124694,347,347,MOIRA,MOIRA SHIRE,S087 1994 p28,24900,,,815857841,25/03/2024,1,37,120,28,3,30836,4045.9,7.6,6,9.145060432,119.9896225
858016783,355,355,MURRINDINDI,MURRINDINDI SHIRE,G007 2012 p285,25620,,,857824903,18/10/2024,2,34,218,24,5,15603,3879.8,4,5,8.763338316,217.9068128
856969537,338,338,LODDON,LODDON SHIRE,S002 1995 p14,23940,,,847360027,26/09/2024,1,38,490,29,2,7755,6696.4,1.2,7,5.674690879,490.0064475
756167790,322,322,GLEN EIRA,GLEN EIRA CITY,S097 1994 p21,22310,,,743233029,15/05/2023,5,4,2,1,2,161057,38.7,4162.7,1,103.3591731,2.483592765
840422425,328,328,GREATER SHEPPARTON,GREATER SHEPPARTON CITY,S087 1994 p28,22830,,,838124695,8/04/2024,2,29,42,20,4,69874,2421.9,28.9,5,11.97406995,41.50327733
858016778,321,321,GANNAWARRA,GANNAWARRA SHIRE,S004 1995 p14,22250,,,856969536,18/10/2024,1,18,173,12,2,10404,3737.6,2.8,4,4.815924658,173.0103806
805744891,365,365,SURF COAST,SURF COAST SHIRE,S063 1994 p15,26490,,,796758610,16/10/2023,2,19,48,12,3,39928,1552.9,25.7,4,12.2351729,47.58565418
857824900,373,373,WHITTLESEA,WHITTLESEA CITY,G003 1999 p119,27070,,,857596445,15/10/2024,4,16,6,9,3,253204,489.7,517.1,4,32.67306514,6.319015497
857824899,339,339,MACEDON RANGES,MACEDON RANGES SHIRE,S002 1995 p17,24130,,,857596444,15/10/2024,2,34,63,22,4,53738,1748.3,30.7,8,19.44746325,63.26993934
856969550,326,326,GREATER DANDENONG,GREATER DANDENONG CITY,S097 1994 p22,22670,,,812633107,26/09/2024,5,10,6,4,4,167298,129.5,1291.4,2,77.22007722,5.977357769
825005519,306,306,BAYSIDE,BAYSIDE CITY,G050 2023 p2364,20910,1005,,821999872,25/01/2024,5,2,2,0,1,106118,37.2,2851.8,1,53.76344086,1.884694397
858016782,382,382,MANSFIELD,MANSFIELD SHIRE,G042 2002 p2839,24250,,29/01/2003,820277765,18/10/2024,1,16,148,11,2,10782,3843.9,2.8,3,4.162439189,148.3954739
826546837,371,371,WEST WIMMERA,WEST WIMMERA SHIRE,S004 1995 p24,26890,,,812633102,29/01/2024,1,40,1022,32,3,3913,9108.7,0.4,5,4.391406018,1022.23358
826546836,330,330,HINDMARSH,HINDMARSH SHIRE,S004 1995 p16,22980,,,537821321,29/01/2024,1,26,476,19,3,5464,7524.2,0.7,4,3.455516866,475.8418741
829328289,324,324,GOLDEN PLAINS,GOLDEN PLAINS SHIRE,G012 1995 p742,22490,,,810305321,5/02/2024,1,33,125,26,1,26337,2703.4,9.7,6,12.20685063,125.299009
857371170,332,332,HORSHAM,HORSHAM RURAL CITY,S004 1995 p16,23190,,,844664029,4/10/2024,1,25,123,22,1,20376,4266.8,4.8,2,5.8591919,122.6933647
857371172,359,359,PYRENEES,PYRENEES SHIRE,S004 1995 p20,25990,,,835228707,4/10/2024,1,26,327,20,2,7958,3434.6,2.3,4,7.57002271,326.7152551
858016780,364,364,STRATHBOGIE,STRATHBOGIE SHIRE,G012 1995 p738,26430,,,857824897,18/10/2024,1,30,256,25,2,11739,3303.3,3.6,3,9.081827264,255.5583951
499822664,124107197,384,MOUNT BULLER ALPINE RESORT,MOUNT BULLER ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,492682893,30/07/2015,5,3,,,,,,,,,
857371181,331,331,HOBSONS BAY,HOBSONS BAY CITY,S035 1994 p4,23110,,,812633105,4/10/2024,5,8,8,3,1,95633,64.2,1488.7,4,124.6105919,8.365313229
728238368,360,360,QUEENSCLIFFE,QUEENSCLIFFE BOROUGH,G047 1863 p1039,26080,,,693701355,27/02/2023,5,3,91,2,0,3302,8.6,383.2,1,348.8372093,90.85402786
831486332,366,366,SWAN HILL,SWAN HILL RURAL CITY,S004 1995 p23,26610,,,826546833,19/02/2024,1,27,128,17,4,21094,6115.5,3.4,6,4.415011038,127.998483
858458114,352,352,MORNINGTON PENINSULA,MORNINGTON PENINSULA SHIRE,S097 1994 p27,25340,,,856190183,30/10/2024,4,35,20,22,7,171450,724,236.8,6,48.34254144,20.4141149
832976078,361,361,SOUTH GIPPSLAND,SOUTH GIPPSLAND SHIRE,S097 1994 p28,26170,,,812373713,26/02/2024,1,38,122,26,4,31022,3296.3,9.4,8,11.52807693,122.4937141
857371173,362,362,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS SHIRE,G019 1996 p1218,26260,,,840422430,4/10/2024,1,61,369,49,5,16525,6654,2.5,7,9.167418094,369.1376702
798566874,323,323,GLENELG,GLENELG SHIRE,G003 1997 p195,22410,,,795436516,18/09/2023,1,50,250,42,3,20007,6218.8,3.2,5,8.040136361,249.9125306
