LGA code,LGA name,population,km2,persons/km2
20110,Alpine,13199,4788.2,2.8
20260,Ararat,11686,4211.1,2.8
20570,Ballarat,121050,739,163.8
20660,Banyule,131931,62.5,2109.5
20740,Bass Coast,43557,865.8,50.3
20830,Baw Baw,61905,4027.6,15.4
20910,Bayside (Vic.),106118,37.2,2851.8
21010,Benalla,14635,2352.6,6.2
21110,Boroondara,178008,60.2,2958
21180,Brimbank,198152,123.4,1605.8
21270,Buloke,5956,7998.2,0.7
21370,Campaspe,38153,4519.1,8.4
21450,Cardinia,130383,1282.6,101.7
21610,Casey,405415,409.4,990.2
21670,Central Goldfields,13704,1532.8,8.9
21750,Colac Otway,22300,3437.5,6.5
21830,Corangamite,15846,4407.5,3.6
21890,Darebin,159963,53.5,2991.6
22110,East Gippsland,49422,20939.5,2.4
22170,Frankston,144615,129.6,1115.9
22250,Gannawarra,10404,3737.6,2.8
22310,Glen Eira,161057,38.7,4162.7
22410,Glenelg,20007,6218.8,3.2
22490,Golden Plains,26337,2703.4,9.7
22620,Greater Bendigo,125805,3000,41.9
22670,Greater Dandenong,167298,129.5,1291.4
22750,Greater Geelong,289565,1248,232
22830,Greater Shepparton,69874,2421.9,28.9
22910,Hepburn,16824,1473,11.4
22980,Hindmarsh,5464,7524.2,0.7
23110,Hobsons Bay,95633,64.2,1488.7
23190,Horsham,20376,4266.8,4.8
23270,Hume,271709,503.8,539.3
23350,Indigo,17788,2040.5,8.7
23430,Kingston (Vic.),166521,91.4,1822.5
23670,Knox,163302,113.9,1433.6
23810,Latrobe (Vic.),78845,1425.6,55.3
23940,Loddon,7755,6696.4,1.2
24130,Macedon Ranges,53738,1748.3,30.7
24210,Manningham,131761,113.3,1162.4
24250,Mansfield,10782,3843.9,2.8
24330,Maribyrnong,94251,31.2,3018.4
24410,Maroondah,119354,61.4,1943.6
24600,Melbourne,189381,37.5,5044.1
24650,Melton,219697,527.5,416.5
24700,Merri-bek,186534,51,3661
24780,Mildura,57626,22081.9,2.6
24850,Mitchell,56384,2862.1,19.7
24900,Moira,30836,4045.9,7.6
24970,Monash,209268,81.5,2568.2
25060,Moonee Valley,129732,43.1,3007.3
25150,Moorabool,39814,2110.6,18.9
25340,Mornington Peninsula,171450,724,236.8
25430,Mount Alexander,20799,1529.6,13.6
25490,Moyne,17717,5481.7,3.2
25620,Murrindindi,15603,3879.8,4
25710,Nillumbik,63693,432.3,147.3
25810,Northern Grampians,11808,5729.9,2.1
25900,Port Phillip,112669,20.6,5465.6
25990,Pyrenees,7958,3434.6,2.3
26080,Queenscliffe,3302,8.6,383.2
26170,South Gippsland,31022,3296.3,9.4
26260,Southern Grampians,16525,6654,2.5
26350,Stonnington,114038,25.7,4445.8
26430,Strathbogie,11739,3303.3,3.6
26490,Surf Coast,39928,1552.9,25.7
26610,Swan Hill,21094,6115.5,3.4
26670,Towong,6237,6675.2,0.9
26700,Wangaratta,30169,3645.1,8.3
26730,Warrnambool,36150,120.9,298.9
26810,Wellington,46533,10817.4,4.3
26890,West Wimmera,3913,9108.7,0.4
26980,Whitehorse,183462,64.3,2854.1
27070,Whittlesea,253204,489.7,517.1
27170,Wodonga,44824,433,103.5
27260,Wyndham,337009,542.1,621.7
27350,Yarra,100706,19.5,5153.3
27450,Yarra Ranges,160137,2468.2,64.9
27630,Yarriambiack,6346,7325.8,0.9
29399,Unincorporated Vic,964,283.2,3.4
,Total Victoria,6978719,227496.2,30.7
